sample_id,Condition,mouse_id,n_cells,mean_depth,median_depth,q05_depth,q25_depth,q75_depth,q95_depth,p99_depth,max_depth,median_cell_area,q25_cell_area,q75_cell_area,p95_cell_area,median_nucleus_area,q25_nucleus_area,q75_nucleus_area,p95_nucleus_area,median_nucleus_count,iqr_depth
4_T-2,Pmel1,763,9980,866.21,612.0,110.0,309.75,1154.25,2504.05,3731.05,7795.0,71.75,41.14,132.54,267.71,22.01,12.69,38.79,83.88,1.0,844.5
4_T-3,Pmel1,792,12590,721.63,549.0,119.0,315.0,917.0,1932.0,3222.44,6234.0,51.93,34.32,80.83,171.42,21.54,13.82,31.88,57.85,1.0,602.0
8_T-1,Pmel1,788,5525,613.56,279.0,26.0,95.0,818.0,2309.8,3712.48,5831.0,76.49,42.09,132.13,243.09,21.77,12.33,35.67,74.91,1.0,723.0
8_T-2,Pmel1,601,14207,805.63,568.0,118.3,311.0,1059.0,2283.0,3542.76,7084.0,68.1,41.32,115.51,223.09,22.44,14.0,35.81,70.47,1.0,748.0
8_T-3,Pmel1,770,5591,406.84,123.0,22.0,58.0,283.0,2114.0,3462.2,5984.0,89.05,44.91,140.62,245.79,19.87,11.15,34.91,74.26,1.0,225.0
B_04a,Pmel1,787,7277,521.27,436.0,83.8,239.0,712.0,1251.2,1728.96,3824.0,73.97,43.4,136.78,298.26,25.33,15.13,41.77,73.41,1.0,473.0
B_05a,Pmel1,799,8116,344.97,257.0,48.0,140.0,434.0,933.5,1704.7,4129.0,50.08,32.65,79.93,167.72,16.26,10.52,23.84,41.91,1.0,294.0
B_06a,Pmel1,630,17758,551.57,368.0,81.0,203.0,664.0,1693.15,2910.15,6975.0,54.91,35.4,89.27,178.28,18.11,11.79,26.33,55.77,1.0,461.0
B_07a,Pmel1,756,20465,684.94,464.0,83.0,241.0,875.0,2028.8,3443.72,10416.0,64.39,39.6,111.13,217.92,22.62,14.22,35.9,70.86,1.0,634.0
4_21-1,Pmel1.Il21,781,9702,1193.17,774.0,117.0,361.0,1594.0,3623.95,6054.95,12941.0,97.36,50.17,176.47,356.26,29.44,16.03,55.14,108.36,1.0,1233.0
